year,rotation,site_id,nrate_kgha,leaching_kgha
2016,cs,klad,300,1.9
2016,cs,masa,0,2.6
2016,cs,masa,56,3.3
2016,cs,masa,112,8.5
2016,cs,masa,168,23.1
2016,cs,masa,224,39.4
2016,cs,masa,250,46.9
2016,cs,masa,300,61.6
2016,cs,rand,0,1.3
2016,cs,rand,56,1.5
2016,cs,rand,112,3.2
2016,cs,rand,168,11.1
2016,cs,rand,224,19.5
2016,cs,rand,250,23.4
2016,cs,rand,300,31.7
2016,cs,suth,0,0.9
2016,cs,suth,56,1
2016,cs,suth,112,1.1
2016,cs,suth,168,3.6
2016,cs,suth,224,7.3
2016,cs,suth,250,9.1
2016,cs,suth,300,12
2017,cc,gent,0,8.7
2017,cc,gent,56,17
2017,cc,gent,112,25.5
2017,cc,gent,168,54
2017,cc,gent,224,82.4
2017,cc,gent,250,95.1
2017,cc,gent,300,119.4
2017,cc,gilm,0,7.8
2017,cc,gilm,56,12.7
2017,cc,gilm,112,20.7
2017,cc,gilm,168,51.6
2017,cc,gilm,224,81.9
2017,cc,gilm,250,96.6
2017,cc,gilm,300,124.7
2017,cc,gold,0,3.4
2017,cc,gold,56,6.1
2017,cc,gold,112,9.2
2017,cc,gold,168,30
2017,cc,gold,224,52.1
2017,cc,gold,250,62.5
2017,cc,gold,300,83
2017,cc,hoff,0,10
2017,cc,hoff,56,20.6
2017,cc,hoff,112,32.3
2017,cc,hoff,168,74.5
2017,cc,hoff,224,118
2017,cc,hoff,250,139.8
2017,cc,hoff,300,179.6
2017,cc,hugg,0,5.1
2017,cc,hugg,56,8.8
2017,cc,hugg,112,13.8
2017,cc,hugg,168,41.8
2017,cc,hugg,224,87.5
2017,cc,hugg,250,106.4
2017,cc,hugg,300,138.1
2017,cc,klad,0,3.5
2017,cc,klad,56,7.1
2017,cc,klad,112,10.8
2017,cc,klad,168,23.3
2017,cc,klad,224,35.4
2017,cc,klad,250,41.8
2017,cc,klad,300,53.6
2017,cc,masa,0,1.4
2017,cc,masa,56,3.5
2017,cc,masa,112,9.8
2017,cc,masa,168,37.4
2017,cc,masa,224,67.3
2017,cc,masa,250,81.2
2017,cc,masa,300,108.2
2017,cc,rand,0,1.5
2017,cc,rand,56,2.7
2017,cc,rand,112,3.9
2017,cc,rand,168,14.2
2017,cc,rand,224,36.2
2017,cc,rand,250,46.1
2017,cc,rand,300,64.5
2017,cc,suth,0,1.2
2017,cc,suth,56,2
2017,cc,suth,112,3
2017,cc,suth,168,3.6
2017,cc,suth,224,16.4
2017,cc,suth,250,22.1
2017,cc,suth,300,32.9
2017,cs,gent,0,11.9
2017,cs,gent,56,14.4
2017,cs,gent,112,19.2
2017,cs,gent,168,26.9
2017,cs,gent,224,36.9
2017,cs,gent,250,41.7
2017,cs,gent,300,50.8
2017,cs,gilm,0,9.2
2017,cs,gilm,56,11.1
2017,cs,gilm,112,15.1
2017,cs,gilm,168,25.6
2017,cs,gilm,224,35.7
2017,cs,gilm,250,40.6
2017,cs,gilm,300,51.3
2017,cs,gold,0,3.2
2017,cs,gold,56,3.6
2017,cs,gold,112,5.6
2017,cs,gold,168,8.3
2017,cs,gold,224,10.8
2017,cs,gold,250,12
2017,cs,gold,300,14.9
2017,cs,hoff,0,19.5
2017,cs,hoff,56,20.3
2017,cs,hoff,112,23.8
2017,cs,hoff,168,31.2
2017,cs,hoff,224,37.9
2017,cs,hoff,250,40.9
2017,cs,hoff,300,47.3
2017,cs,hugg,0,6.9
2017,cs,hugg,56,8.1
2017,cs,hugg,112,13.6
2017,cs,hugg,168,29
2017,cs,hugg,224,42.6
2017,cs,hugg,250,48.2
2017,cs,hugg,300,60.3
2017,cs,klad,0,5.2
2017,cs,klad,56,5.9
2017,cs,klad,112,8.7
2017,cs,klad,168,14.1
2017,cs,klad,224,19.4
2017,cs,klad,250,22.5
2017,cs,klad,300,27.3
2017,cs,masa,0,2.8
2017,cs,masa,56,3.9
2017,cs,masa,112,10.1
2017,cs,masa,168,15.6
2017,cs,masa,224,21.1
2017,cs,masa,250,23.4
2017,cs,masa,300,28.1
2017,cs,rand,0,0.6
2017,cs,rand,56,0.6
2017,cs,rand,112,1
2017,cs,rand,168,3.5
2017,cs,rand,224,5.9
2017,cs,rand,250,6.9
2017,cs,rand,300,8.3
2017,cs,suth,0,0.7
2017,cs,suth,56,0.7
2017,cs,suth,112,0.7
2017,cs,suth,168,0.8
2017,cs,suth,224,0.8
2017,cs,suth,250,0.8
2017,cs,suth,300,0.8
2018,cc,gent,0,12.6
2018,cc,gent,56,20.7
2018,cc,gent,112,26.8
2018,cc,gent,168,66
2018,cc,gent,224,110.6
2018,cc,gent,250,131.6
2018,cc,gent,300,172.7
2018,cc,gilm,0,8.3
2018,cc,gilm,56,17.2
2018,cc,gilm,112,31
2018,cc,gilm,168,86.5
2018,cc,gilm,224,141.8
2018,cc,gilm,250,168
2018,cc,gilm,300,217.6
2018,cc,gold,0,2
2018,cc,gold,56,3.5
2018,cc,gold,112,8.1
2018,cc,gold,168,27.6
2018,cc,gold,224,48.4
2018,cc,gold,250,58.2
2018,cc,gold,300,77.3
2018,cc,hoff,0,11.3
2018,cc,hoff,56,21.2
2018,cc,hoff,112,31.3
2018,cc,hoff,168,64.2
2018,cc,hoff,224,105.8
2018,cc,hoff,250,123.5
2018,cc,hoff,300,157.4
2018,cc,hugg,0,7.5
2018,cc,hugg,56,17.6
2018,cc,hugg,112,29.7
2018,cc,hugg,168,78.3
2018,cc,hugg,224,147.7
2018,cc,hugg,250,182.3
2018,cc,hugg,300,239.5
2018,cc,klad,0,3.2
2018,cc,klad,56,4.8
2018,cc,klad,112,5.9
2018,cc,klad,168,15.9
2018,cc,klad,224,27.7
2018,cc,klad,250,33.6
2018,cc,klad,300,45
2018,cc,masa,0,1
2018,cc,masa,56,2.1
2018,cc,masa,112,5.4
2018,cc,masa,168,38.1
2018,cc,masa,224,79.8
2018,cc,masa,250,99.3
2018,cc,masa,300,137.2
2018,cc,rand,0,2.5
2018,cc,rand,56,3.4
2018,cc,rand,112,4.4
2018,cc,rand,168,25.2
2018,cc,rand,224,60.6
2018,cc,rand,250,77.2
2018,cc,rand,300,108.9
2018,cc,suth,0,1.9
2018,cc,suth,56,2.9
2018,cc,suth,112,4.1
2018,cc,suth,168,5.3
2018,cc,suth,224,25.5
2018,cc,suth,250,37.1
2018,cc,suth,300,60
2018,cs,gent,0,17.5
2018,cs,gent,56,20.3
2018,cs,gent,112,29.1
2018,cs,gent,168,40.8
2018,cs,gent,224,53.6
2018,cs,gent,250,59.4
2018,cs,gent,300,70.9
2018,cs,gilm,0,9.3
2018,cs,gilm,56,16
